Vehicle No,Section,Time,Subsection,Repair No
KB - 2126,General Repair,63,Suspension Change,30
KB - 2127,General Repair,59,Suspension Change,4
KB - 2128,General Repair,56,Suspension Change,23
KB - 2129,General Repair,60,Suspension Change,26
KB - 2130,General Repair,58,Suspension Change,11
KB - 2131,General Repair,59,Suspension Change,10
KB - 2132,General Repair,58,Suspension Change,21
KB - 2133,General Repair,55,Suspension Change,25
KB - 2134,General Repair,61,Suspension Change,20
KB - 2135,General Repair,58,Suspension Change,25
KB - 2136,General Repair,55,Suspension Change,27
KB - 2137,General Repair,65,Suspension Change,4
KB - 2138,General Repair,64,Suspension Change,4
KB - 2139,General Repair,55,Suspension Change,20
KB - 2140,General Repair,59,Suspension Change,29
KB - 2141,General Repair,55,Suspension Change,12
KB - 2142,General Repair,60,Suspension Change,1
KB - 2143,General Repair,56,Suspension Change,2
KB - 2144,General Repair,57,Suspension Change,29
KB - 2145,General Repair,65,Suspension Change,16
KB - 2146,General Repair,56,Suspension Change,30
KB - 2147,General Repair,57,Suspension Change,16
KB - 2148,General Repair,65,Suspension Change,15
KB - 2149,General Repair,60,Suspension Change,2
KB - 2150,General Repair,59,Suspension Change,10
KB - 2151,General Repair,65,Suspension Change,24
KB - 2152,General Repair,64,Suspension Change,8
KB - 2153,General Repair,59,Suspension Change,3
KB - 2154,General Repair,55,Suspension Change,16
KB - 2155,General Repair,55,Suspension Change,26
KB - 2156,General Repair,56,Suspension Change,2
KB - 2157,General Repair,63,Suspension Change,23
KB - 2158,General Repair,60,Suspension Change,18
KB - 2159,General Repair,55,Suspension Change,4
KB - 2160,General Repair,58,Suspension Change,5
KB - 2161,General Repair,65,Suspension Change,25
KB - 2162,General Repair,56,Suspension Change,24
KB - 2163,General Repair,57,Suspension Change,17
KB - 2164,General Repair,59,Suspension Change,7
KB - 2165,General Repair,58,Suspension Change,22
KB - 2166,General Repair,58,Suspension Change,29
KB - 2167,General Repair,65,Suspension Change,8
KB - 2168,General Repair,58,Suspension Change,7
KB - 2169,General Repair,56,Suspension Change,16
KB - 2170,General Repair,62,Suspension Change,15
KB - 2171,General Repair,60,Suspension Change,4
KB - 2172,General Repair,59,Suspension Change,16
KB - 2173,General Repair,57,Suspension Change,28
KB - 2174,General Repair,56,Suspension Change,28
KB - 2175,General Repair,57,Suspension Change,5
KB - 2176,General Repair,61,Suspension Change,16
KB - 2177,General Repair,57,Suspension Change,14
KB - 2178,General Repair,55,Suspension Change,25
KB - 2179,General Repair,60,Suspension Change,11
KB - 2180,General Repair,61,Suspension Change,7
KB - 2181,General Repair,64,Suspension Change,14
KB - 2182,General Repair,64,Suspension Change,16
KB - 2183,General Repair,58,Suspension Change,24
KB - 2184,General Repair,57,Suspension Change,29
KB - 2185,General Repair,59,Suspension Change,3
KB - 2186,General Repair,63,Suspension Change,17
KB - 2187,General Repair,64,Suspension Change,6
KB - 2188,General Repair,55,Suspension Change,19
KB - 2189,General Repair,60,Suspension Change,6
KB - 2190,General Repair,62,Suspension Change,30
KB - 2191,General Repair,57,Suspension Change,28
KB - 2192,General Repair,57,Suspension Change,16
KB - 2193,General Repair,55,Suspension Change,24
KB - 2194,General Repair,56,Suspension Change,5
KB - 2195,General Repair,62,Suspension Change,25
KB - 2196,General Repair,63,Suspension Change,1
KB - 2197,General Repair,61,Suspension Change,9
KB - 2198,General Repair,61,Suspension Change,23
KB - 2199,General Repair,61,Suspension Change,6
KB - 2200,General Repair,59,Suspension Change,14
KB - 2201,General Repair,64,Suspension Change,11
KB - 2202,General Repair,57,Suspension Change,9
KB - 2203,General Repair,56,Suspension Change,13
KB - 2204,General Repair,61,Suspension Change,29
KB - 2205,General Repair,56,Suspension Change,17
KB - 2206,General Repair,59,Suspension Change,23
KB - 2207,General Repair,64,Suspension Change,16
KB - 2208,General Repair,65,Suspension Change,8
KB - 2209,General Repair,57,Suspension Change,27
KB - 2210,General Repair,56,Suspension Change,18
KB - 2211,General Repair,61,Suspension Change,16
KB - 2212,General Repair,59,Suspension Change,9
KB - 2213,General Repair,64,Suspension Change,27
KB - 2214,General Repair,60,Suspension Change,16
KB - 2215,General Repair,65,Suspension Change,23
KB - 2216,General Repair,55,Suspension Change,6
KB - 2217,General Repair,64,Suspension Change,16
KB - 2218,General Repair,60,Suspension Change,10
KB - 2219,General Repair,55,Suspension Change,27
KB - 2220,General Repair,62,Suspension Change,27
KB - 2221,General Repair,62,Suspension Change,17
KB - 2222,General Repair,55,Suspension Change,28
KB - 2223,General Repair,62,Suspension Change,11
KB - 2224,General Repair,57,Suspension Change,12
KB - 2225,General Repair,65,Suspension Change,30
KB - 2226,General Repair,61,Suspension Change,12
